Phyla,Species,antimicrobial-resistance,Biofilm-formation,Human-pathogenicity,Thermophile,Radiation-resistance,Spore-formation
Ascomycota,Aaosphaeria arxii CBS 175.79,0,0,0,1,0,0
Mucoromycota,Absidia caerulea NRRL1315,0,0,0,0,0,0
Mucoromycota,Absidia repens NRRL 1336,0,0,0,0,0,0
Ascomycota,Amniculicola lignicola CBS 123094,0,0,0,1,0,0
Ascomycota,Amorphotheca resinae ATCC 22711,0,0,0,0,0,0
Ascomycota,Aplosporella prunicola CBS 121167,0,0,0,1,0,0
Ascomycota,Ascoidea rubescens DSM 1968,0,1,0,0,0,0
Ascomycota,Aspergillus aculeatinus CBS 121060,0,0,0,1,0,0
Ascomycota,Aspergillus aculeatus ATCC 16872,0,0,0,1,0,0
Ascomycota,Aspergillus alliaceus CBS 536.65,0,0,0,1,0,0
Ascomycota,Aspergillus brasiliensis CBS 101740,0,0,0,1,0,0
Ascomycota,Aspergillus brunneoviolaceus CBS 621.78,0,0,0,1,0,0
Ascomycota,Aspergillus clavatus NRRL 1,0,0,0,1,0,0
Ascomycota,Aspergillus costaricaensis CBS 115574,0,0,0,1,0,0
Ascomycota,Aspergillus ellipticus CBS 707.79,0,0,0,0,0,0
Ascomycota,Aspergillus eucalypticola CBS 122712,0,0,0,1,0,0
Ascomycota,Aspergillus fijiensis CBS 313.89,0,0,0,1,0,0
Ascomycota,Aspergillus flavus NRRL3357,0,0,0,1,0,0
Ascomycota,Aspergillus fumigatus Af293,0,0,0,1,0,0
Ascomycota,Aspergillus giganteus CBS 515.65,0,0,0,1,0,0
Ascomycota,Aspergillus glaucus CBS 516.65,0,0,0,1,0,0
Ascomycota,Aspergillus heteromorphus CBS 117.55,0,0,0,1,0,0
Ascomycota,Aspergillus homomorphus CBS 101889,0,0,0,1,0,0
Ascomycota,Aspergillus ibericus CBS 121593,0,0,0,1,0,0
Ascomycota,Aspergillus indologenus CBS 114.80,0,0,0,1,0,0
Ascomycota,Aspergillus intermedius CBS 116.62,0,0,0,1,0,0
Ascomycota,Aspergillus japonicus CBS 114.51,0,0,0,1,0,0
Ascomycota,Aspergillus luchuensis CBS 106.47,0,0,0,1,0,0
Ascomycota,Aspergillus neoniger CBS 115656,0,0,0,1,0,0
Ascomycota,Aspergillus niger ATCC 1015,0,0,0,1,0,0
Ascomycota,Aspergillus nomiae NRRL 13137,0,0,0,1,0,0
Ascomycota,Aspergillus ochraceus ITEM 7043,0,0,0,1,0,0
Ascomycota,Aspergillus phoenicis ATCC 13157,0,0,0,1,0,0
Ascomycota,Aspergillus piperis CBS 112811,0,0,0,1,0,0
Ascomycota,Aspergillus ruber CBS 135680,0,0,0,1,0,0
Ascomycota,Aspergillus sclerotiicarbonarius CBS 121057,0,0,0,1,0,0
Ascomycota,Aspergillus sclerotioniger CBS 115572,0,0,0,1,0,0
Ascomycota,Aspergillus sclerotiorum CBS 549.65,0,0,0,1,0,1
Ascomycota,Aspergillus sydowii CBS 593.65,0,0,0,1,0,1
Ascomycota,Aspergillus tubingensis CBS 134.48,0,0,0,1,0,0
Ascomycota,Aspergillus uvarum CBS 121591,0,0,0,1,0,0
Ascomycota,Aspergillus vadensis CBS 113365,0,0,0,1,0,0
Ascomycota,Aspergillus versicolor CBS 583.65,0,0,0,1,0,1
Ascomycota,Aspergillus violaceofuscus CBS 115571,0,0,0,1,0,0
Ascomycota,Aspergillus nomiae,0,0,0,1,0,0
Ascomycota,Aulographum hederae CBS 113979,0,0,0,1,0,0
Ascomycota,Aureobasidium namibiae CBS 147.97,0,0,0,0,0,0
Ascomycota,Babjeviella inositovora NRRL Y 12698,0,1,0,0,0,0
Zygomycota,Basidiobolus meristosporus CBS 931.73,0,0,0,0,0,0
Zygomycota,Basidiobolus microsporus NRRL 2992,0,0,0,1,1,0
Mucoromycota,Benjaminiella poitrasii RSA903  Metagenome Assembled Genome,0,0,0,0,0,0
Ascomycota,Bimuria novae zelandiae CBS 107.79,0,0,0,0,0,0
Ascomycota,Bipolaris maydis ATCC 48331,0,0,0,0,0,0
Ascomycota,Bipolaris oryzae ATCC 44560,0,0,0,1,0,0
Ascomycota,Blastomyces dermatitidis ATCC 18188,0,0,0,1,0,0
Ascomycota,Blastomyces dermatitidis ER 3,0,0,0,1,0,0
Ascomycota,Issatchenkia orientalis,0,1,0,0,0,0
Mucoromycota,Calcarisporiella thermophila CBS 279.70,0,0,0,0,0,0
Ascomycota,Candida albicans SC5314,1,1,1,0,1,0
Ascomycota,Candida boidinii NRRL Y 2332,0,1,0,0,1,0
Ascomycota,Candida parapsilosis CDC317,1,1,0,1,1,0
Ascomycota,Candida auris,0,1,0,1,1,0
Ascomycota,Candida railenensis,1,1,0,0,0,0
Ascomycota,Capronia coronata CBS 617.96,0,0,0,0,0,0
